"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"FRNI","","Fraxinus nigra","black ash","Dicot","Fraxinus","Oleaceae","Olive family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","No"
"FRPE","","Fraxinus pennsylvanica","green ash","Dicot","Fraxinus","Oleaceae","Olive family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","No"
"GAAR","","Gaillardia aristata","blanketflower","Dicot","Gaillardia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"GAPU","","Gaillardia pulchella","Indian blanket","Dicot","Gaillardia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual, Biennial, Perennial","Subshrub, Forb/herb","Spring, Summer, Fall","Decumbent","None","No"
"GAAP2","","Galium aparine","stickywilly","Dicot","Galium","Rubiaceae","Madder family","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Vine, Forb/herb","Spring","Decumbent","None","No"
"GAAS2","","Galium asprellum","rough bedstraw","Dicot","Galium","Rubiaceae","Madder family","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Prostrate","None","No"
"GABO2","","Galium boreale","northern bedstraw","Dicot","Galium","Rubiaceae","Madder family","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"GAOB","","Galium obtusum","bluntleaf bedstraw","Dicot","Galium","Rubiaceae","Madder family","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Irregular","None","No"
"GATI","","Galium tinctorium","stiff marsh bedstraw","Dicot","Galium","Rubiaceae","Madder family","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Decumbent","None","No"
"GATR2","","Galium trifidum","threepetal bedstraw","Dicot","Galium","Rubiaceae","Madder family","Rubiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine, Forb/herb","Summer","Decumbent","None","No"
"GAHI2","","Gaultheria hispidula","creeping snowberry","Dicot","Gaultheria","Ericaceae","Heath family","Ericales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring and Summer","Prostrate","None","Yes"
"GAPR2","","Gaultheria procumbens","eastern teaberry","Dicot","Gaultheria","Ericaceae","Heath family","Ericales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring, Summer, Fall","Prostrate","None","Yes"
"GABA","","Gaylussacia baccata","black huckleberry","Dicot","Gaylussacia","Ericaceae","Heath family","Ericales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Erect","None","Yes"
"GEAN","","Gentiana andrewsii","closed bottle gentian","Dicot","Gentiana","Gentianaceae","Gentian family","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"GECA7","","Geum canadense","white avens","Dicot","Geum","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"GELA","","Geum laciniatum","rough avens","Dicot","Geum","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"GEMA4","","Geum macrophyllum","largeleaf avens","Dicot","Geum","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"GERI2","","Geum rivale","purple avens","Dicot","Geum","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"GETR","","Geum triflorum","old man's whiskers","Dicot","Geum","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","Yes"
