"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"MUPU2","","Muhlenbergia pungens","sandhill muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"MURA","","Muhlenbergia racemosa","marsh muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MURI","","Muhlenbergia richardsonis","mat muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Decumbent","None","No"
"MURI2","","Muhlenbergia rigens","deergrass","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"MUSC","","Muhlenbergia schreberi","nimblewill","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"MUSY","","Muhlenbergia sylvatica","woodland muhly","Monocot","Muhlenbergia","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Semi-Erect","None","No"
"MYSC","","Myosotis scorpioides","true forget-me-not","Dicot","Myosotis","Boraginaceae","Borage family","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Decumbent","None","No"
"MYMI2","","Myosurus minimus","tiny mousetail","Dicot","Myosurus","Ranunculaceae","Buttercup family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"NAFL","","Najas flexilis","nodding waternymph","Monocot","Najas","Najadaceae","Water-nymph family","Najadales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring, Summer, Fall","Semi-Erect","None","Yes"
"NAGU","","Najas guadalupensis","southern waternymph","Monocot","Najas","Najadaceae","Water-nymph family","Najadales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Summer","Prostrate","None","No"
"NEOL","","Nerium oleander","oleander","Dicot","Nerium","Apocynaceae","Dogbane family","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring, Summer, Fall","Erect","Moderate","No"
"NIOC2","","Nitrophila occidentalis","boraxweed","Dicot","Nitrophila","Chenopodiaceae","Goosefoot family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Decumbent","None","No"
"NOMI","","Nolina microcarpa","sacahuista","Monocot","Nolina","Liliaceae","Lily family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring and Summer","Decumbent","Slight","Yes"
"NULUP","","Nuphar lutea ssp. polysepala","Rocky Mountain pond-lily","Dicot","Nuphar","Nymphaeaceae","Water-lily family","Nymphaeales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Irregular","None","Yes"
"NYME","","Nymphaea mexicana","yellow waterlily","Dicot","Nymphaea","Nymphaeaceae","Water-lily family","Nymphaeales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Decumbent","None","No"
"OECA10","","Oenothera caespitosa","tufted evening primrose","Dicot","Oenothera","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb, Subshrub","Spring and Summer","Decumbent","None","No"
"OEEL","","Oenothera elata","Hooker's evening primrose","Dicot","Oenothera","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"OEFL","","Oenothera flava","yellow evening primrose","Dicot","Oenothera","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"OEPA","","Oenothera pallida","pale evening primrose","Dicot","Oenothera","Onagraceae","Evening Primrose family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"OLTE","","Olneya tesota","desert ironwood","Dicot","Olneya","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring, Summer, Fall","Rounded","None","Yes"
"OPFI","","Opuntia ficus-indica","Barbary fig","Dicot","Opuntia","Cactaceae","Cactus family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Summer","Irregular","None","Yes"
"OPPO","","Opuntia polyacantha","plains pricklypear","Dicot","Opuntia","Cactaceae","Cactus family","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring, Summer, Fall","Decumbent","None","Yes"
"ORLU2","","Orthocarpus luteus","yellow owl's-clover","Dicot","Orthocarpus","Scrophulariaceae","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb","Spring and Summer","Erect","None","No"
"OSDE","","Osmorhiza depauperata","bluntseed sweetroot","Dicot","Osmorhiza","Apiaceae","Carrot family","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Erect","None","No"
"OXDI3","","Oxyria digyna","alpine mountainsorrel","Dicot","Oxyria","Polygonaceae","Buckwheat family","Polygonales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Summer","Erect","None","No"
"OXLA3","","Oxytropis lambertii","purple locoweed","Dicot","Oxytropis","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","Severe","No"
